<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.25	03:15:00	106.060	106.127	106.042	106.085	910	0	1
2021.02.25	03:30:00	106.085	106.139	106.082	106.126	915	0	1
2021.02.25	03:45:00	106.126	106.129	106.065	106.120	800	0	1
2021.02.25	04:00:00	106.120	106.127	106.066	106.086	567	0	1
2021.02.25	04:15:00	106.086	106.088	106.000	106.014	524	0	1
2021.02.25	04:30:00	106.014	106.070	106.002	106.068	379	0	1
2021.02.25	04:45:00	106.068	106.079	106.025	106.034	424	0	1
2021.02.25	05:00:00	106.034	106.050	106.005	106.017	420	0	1
2021.02.25	05:15:00	106.017	106.031	105.983	106.009	458	0	1
2021.02.25	05:30:00	106.009	106.021	105.989	105.990	347	0	1
2021.02.25	05:45:00	105.990	106.002	105.954	105.970	454	0	1
2021.02.25	06:00:00	105.970	105.984	105.931	105.931	323	0	1
2021.02.25	06:15:00	105.931	105.942	105.862	105.910	629	0	1
2021.02.25	06:30:00	105.910	105.938	105.899	105.904	337	0	1
2021.02.25	06:45:00	105.905	105.914	105.845	105.886	548	0	1
2021.02.25	07:00:00	105.886	105.914	105.866	105.908	543	0	1
2021.02.25	07:15:00	105.908	105.913	105.857	105.857	437	0	1
2021.02.25	07:30:00	105.857	105.883	105.850	105.876	541	0	1
2021.02.25	07:45:00	105.876	105.897	105.867	105.884	562	0	1
2021.02.25	08:00:00	105.884	105.918	105.883	105.913	397	0	1
2021.02.25	08:15:00	105.913	105.952	105.908	105.926	341	0	1
2021.02.25	08:30:00	105.926	105.962	105.913	105.948	352	0	1
2021.02.25	08:45:00	105.947	105.956	105.897	105.910	461	0	1
2021.02.25	09:00:00	105.909	105.956	105.908	105.941	737	0	1
2021.02.25	09:15:00	105.941	105.994	105.937	105.975	751	0	1
2021.02.25	09:30:00	105.975	106.056	105.963	106.040	632	0	1
2021.02.25	09:45:00	106.041	106.071	105.993	106.007	915	0	1
2021.02.25	10:00:00	106.008	106.096	106.000	106.067	793	0	1
2021.02.25	10:15:00	106.067	106.108	106.045	106.095	654	0	1
2021.02.25	10:30:00	106.095	106.131	106.060	106.116	695	0	1
2021.02.25	10:45:00	106.116	106.142	106.088	106.133	642	0	1
2021.02.25	11:00:00	106.133	106.168	106.078	106.092	899	0	1
2021.02.25	11:15:00	106.092	106.172	106.085	106.088	887	0	1
2021.02.25	11:30:00	106.088	106.139	106.088	106.116	510	0	1
2021.02.25	11:45:00	106.116	106.133	106.029	106.046	595	0	1
2021.02.25	12:00:00	106.046	106.090	106.041	106.073	575	0	1
2021.02.25	12:15:00	106.073	106.159	106.073	106.157	608	0	1
2021.02.25	12:30:00	106.157	106.158	106.096	106.119	532	0	1
2021.02.25	12:45:00	106.119	106.119	106.054	106.061	669	0	1
2021.02.25	13:00:00	106.062	106.101	106.054	106.057	528	0	1
2021.02.25	13:15:00	106.057	106.113	106.043	106.098	648	0	1
2021.02.25	13:30:00	106.098	106.148	106.087	106.131	745	0	1
2021.02.25	13:45:00	106.131	106.165	106.130	106.138	980	0	1
2021.02.25	14:00:00	106.138	106.177	106.136	106.148	728	0	1
2021.02.25	14:15:00	106.148	106.164	106.116	106.147	789	0	1
2021.02.25	14:30:00	106.147	106.170	106.127	106.159	734	0	1
2021.02.25	14:45:00	106.159	106.171	106.139	106.164	759	0	1
2021.02.25	15:00:00	106.166	106.173	106.062	106.115	948	0	1
2021.02.25	15:15:00	106.115	106.161	106.097	106.155	944	0	1
2021.02.25	15:30:00	106.155	106.196	106.104	106.118	1466	0	1
2021.02.25	15:45:00	106.118	106.162	106.036	106.153	1487	0	1
2021.02.25	16:00:00	106.153	106.178	106.097	106.150	1353	0	1
2021.02.25	16:15:00	106.150	106.193	106.128	106.147	987	0	1
2021.02.25	16:30:00	106.147	106.178	106.067	106.080	1687	0	1
2021.02.25	16:45:00	106.080	106.122	106.055	106.101	1244	0	1
2021.02.25	17:00:00	106.102	106.173	106.094	106.164	1491	0	1
2021.02.25	17:15:00	106.165	106.177	106.098	106.146	1314	0	1
2021.02.25	17:30:00	106.146	106.222	106.128	106.195	1695	0	1
2021.02.25	17:45:00	106.197	106.271	106.173	106.251	1604	0	1
2021.02.25	18:00:00	106.251	106.291	106.228	106.238	1286	0	1
2021.02.25	18:15:00	106.239	106.265	106.213	106.246	1147	0	1
2021.02.25	18:30:00	106.246	106.286	106.237	106.260	910	0	1
2021.02.25	18:45:00	106.260	106.290	106.183	106.221	1173	0	1
2021.02.25	19:00:00	106.221	106.260	106.184	106.192	1249	0	1
2021.02.25	19:15:00	106.189	106.249	106.163	106.237	1209	0	1
2021.02.25	19:30:00	106.237	106.279	106.226	106.265	994	0	1
2021.02.25	19:45:00	106.265	106.327	106.249	106.323	1123	0	1
2021.02.25	20:00:00	106.323	106.401	106.227	106.227	3024	0	1
2021.02.25	20:15:00	106.227	106.276	106.072	106.092	2255	0	1
2021.02.25	20:30:00	106.092	106.163	106.008	106.052	2330	0	1
2021.02.25	20:45:00	106.052	106.091	106.028	106.031	1408	0	1
2021.02.25	21:00:00	106.031	106.151	106.031	106.099	1168	0	1
2021.02.25	21:15:00	106.099	106.189	106.091	106.152	1060	0	1
2021.02.25	21:30:00	106.152	106.219	106.146	106.180	890	0	1
2021.02.25	21:45:00	106.180	106.232	106.154	106.200	1169	0	1
2021.02.25	22:00:00	106.200	106.240	106.157	106.237	1162	0	1
2021.02.25	22:15:00	106.237	106.276	106.196	106.250	1217	0	1
2021.02.25	22:30:00	106.250	106.308	106.249	106.251	1076	0	1
2021.02.25	22:45:00	106.251	106.276	106.204	106.265	888	0	1
2021.02.25	23:00:00	106.265	106.267	106.224	106.225	590	0	1
2021.02.25	23:15:00	106.225	106.228	106.203	106.212	384	0	1
2021.02.25	23:30:00	106.211	106.250	106.192	106.243	705	0	1
2021.02.25	23:45:00	106.243	106.271	106.136	106.136	784	0	1
2021.02.26	00:00:00	106.136	106.237	106.135	106.212	1037	0	5
2021.02.26	00:15:00	106.212	106.254	106.206	106.241	147	0	22
2021.02.26	00:30:00	106.241	106.260	106.196	106.204	317	0	7
2021.02.26	00:45:00	106.205	106.243	106.196	106.236	170	0	9
2021.02.26	01:00:00	106.236	106.267	106.225	106.267	1592	0	1
2021.02.26	01:15:00	106.267	106.365	106.254	106.347	491	0	1
