<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.01	13:45:00	1.20794	1.20843	1.20757	1.20816	923	0	1
2021.02.01	14:00:00	1.20818	1.20882	1.20816	1.20877	941	0	1
2021.02.01	14:15:00	1.20876	1.20886	1.20801	1.20824	907	0	1
2021.02.01	14:30:00	1.20824	1.20862	1.20817	1.20850	958	0	1
2021.02.01	14:45:00	1.20848	1.20856	1.20720	1.20754	1463	0	1
2021.02.01	15:00:00	1.20755	1.20845	1.20728	1.20841	1350	0	1
2021.02.01	15:15:00	1.20841	1.20885	1.20796	1.20815	1344	0	1
2021.02.01	15:30:00	1.20816	1.20856	1.20794	1.20837	1168	0	1
2021.02.01	15:45:00	1.20837	1.20928	1.20833	1.20847	1283	0	1
2021.02.01	16:00:00	1.20849	1.20924	1.20834	1.20909	1177	0	1
2021.02.01	16:15:00	1.20910	1.20988	1.20899	1.20986	1242	0	1
2021.02.01	16:30:00	1.20985	1.20994	1.20931	1.20968	2046	0	1
2021.02.01	16:45:00	1.20967	1.20969	1.20866	1.20869	1963	0	1
2021.02.01	17:00:00	1.20868	1.20957	1.20868	1.20919	1993	0	1
2021.02.01	17:15:00	1.20918	1.20976	1.20914	1.20940	1380	0	1
2021.02.01	17:30:00	1.20943	1.20983	1.20885	1.20903	1314	0	1
2021.02.01	17:45:00	1.20904	1.20928	1.20797	1.20844	1686	0	1
2021.02.01	18:00:00	1.20844	1.20844	1.20770	1.20772	1165	0	1
2021.02.01	18:15:00	1.20773	1.20871	1.20746	1.20812	1310	0	1
2021.02.01	18:30:00	1.20812	1.20819	1.20748	1.20780	1354	0	1
2021.02.01	18:45:00	1.20780	1.20796	1.20682	1.20684	837	0	1
2021.02.01	19:00:00	1.20684	1.20700	1.20626	1.20627	801	0	1
2021.02.01	19:15:00	1.20626	1.20673	1.20625	1.20633	597	0	1
2021.02.01	19:30:00	1.20632	1.20696	1.20632	1.20667	746	0	1
2021.02.01	19:45:00	1.20667	1.20697	1.20646	1.20695	718	0	1
2021.02.01	20:00:00	1.20695	1.20708	1.20613	1.20708	804	0	1
2021.02.01	20:15:00	1.20707	1.20781	1.20699	1.20731	720	0	1
2021.02.01	20:30:00	1.20733	1.20746	1.20644	1.20689	871	0	1
2021.02.01	20:45:00	1.20689	1.20693	1.20646	1.20676	666	0	1
2021.02.01	21:00:00	1.20677	1.20732	1.20665	1.20722	523	0	1
2021.02.01	21:15:00	1.20722	1.20757	1.20716	1.20757	393	0	1
2021.02.01	21:30:00	1.20757	1.20770	1.20727	1.20730	468	0	1
2021.02.01	21:45:00	1.20729	1.20742	1.20655	1.20664	829	0	1
2021.02.01	22:00:00	1.20664	1.20710	1.20651	1.20664	651	0	1
2021.02.01	22:15:00	1.20665	1.20682	1.20620	1.20625	517	0	1
2021.02.01	22:30:00	1.20625	1.20650	1.20579	1.20591	703	0	1
2021.02.01	22:45:00	1.20591	1.20625	1.20559	1.20566	587	0	1
2021.02.01	23:00:00	1.20566	1.20605	1.20564	1.20587	457	0	1
2021.02.01	23:15:00	1.20588	1.20592	1.20560	1.20582	225	0	1
2021.02.01	23:30:00	1.20582	1.20616	1.20582	1.20587	304	0	1
2021.02.01	23:45:00	1.20587	1.20612	1.20584	1.20595	341	0	1
2021.02.02	00:00:00	1.20591	1.20610	1.20583	1.20600	70	0	7
2021.02.02	00:15:00	1.20600	1.20600	1.20586	1.20600	27	0	12
2021.02.02	00:30:00	1.20600	1.20619	1.20595	1.20618	74	0	12
2021.02.02	00:45:00	1.20619	1.20637	1.20600	1.20609	157	0	5
2021.02.02	01:00:00	1.20615	1.20629	1.20608	1.20622	320	0	1
2021.02.02	01:15:00	1.20623	1.20677	1.20621	1.20673	507	0	1
2021.02.02	01:30:00	1.20673	1.20678	1.20648	1.20674	277	0	1
2021.02.02	01:45:00	1.20673	1.20683	1.20665	1.20677	142	0	1
2021.02.02	02:00:00	1.20677	1.20680	1.20623	1.20635	364	0	1
2021.02.02	02:15:00	1.20634	1.20661	1.20628	1.20640	368	0	1
2021.02.02	02:30:00	1.20639	1.20677	1.20629	1.20667	278	0	1
2021.02.02	02:45:00	1.20666	1.20684	1.20622	1.20678	834	0	1
2021.02.02	03:00:00	1.20678	1.20717	1.20670	1.20709	598	0	1
2021.02.02	03:15:00	1.20709	1.20752	1.20707	1.20749	717	0	1
2021.02.02	03:30:00	1.20749	1.20806	1.20731	1.20805	515	0	1
2021.02.02	03:45:00	1.20805	1.20861	1.20768	1.20838	660	0	1
2021.02.02	04:00:00	1.20839	1.20876	1.20825	1.20827	1006	0	1
2021.02.02	04:15:00	1.20827	1.20842	1.20819	1.20832	731	0	1
2021.02.02	04:30:00	1.20836	1.20855	1.20816	1.20822	541	0	1
2021.02.02	04:45:00	1.20822	1.20851	1.20818	1.20834	319	0	1
2021.02.02	05:00:00	1.20835	1.20843	1.20810	1.20812	431	0	1
2021.02.02	05:15:00	1.20811	1.20844	1.20811	1.20829	770	0	1
2021.02.02	05:30:00	1.20831	1.20841	1.20796	1.20813	813	0	1
2021.02.02	05:45:00	1.20812	1.20844	1.20808	1.20816	540	0	1
2021.02.02	06:00:00	1.20817	1.20823	1.20799	1.20811	620	0	1
2021.02.02	06:15:00	1.20810	1.20828	1.20801	1.20813	289	0	1
2021.02.02	06:30:00	1.20812	1.20821	1.20776	1.20778	200	0	1
2021.02.02	06:45:00	1.20778	1.20785	1.20749	1.20754	478	0	1
2021.02.02	07:00:00	1.20754	1.20777	1.20749	1.20766	634	0	1
2021.02.02	07:15:00	1.20766	1.20771	1.20749	1.20752	180	0	1
2021.02.02	07:30:00	1.20751	1.20779	1.20747	1.20747	399	0	1
2021.02.02	07:45:00	1.20748	1.20793	1.20745	1.20792	314	0	1
2021.02.02	08:00:00	1.20791	1.20796	1.20732	1.20747	371	0	1
2021.02.02	08:15:00	1.20746	1.20747	1.20699	1.20702	189	0	1
2021.02.02	08:30:00	1.20702	1.20707	1.20659	1.20703	450	0	1
2021.02.02	08:45:00	1.20703	1.20717	1.20693	1.20708	564	0	1
2021.02.02	09:00:00	1.20707	1.20714	1.20658	1.20672	816	0	1
2021.02.02	09:15:00	1.20673	1.20679	1.20640	1.20652	671	0	1
2021.02.02	09:30:00	1.20654	1.20760	1.20653	1.20715	814	0	1
