<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.15	10:45:00	122.359	122.375	122.292	122.351	1778	0	2
2020.07.15	11:00:00	122.350	122.459	122.350	122.396	1726	0	2
2020.07.15	11:15:00	122.396	122.439	122.362	122.407	1637	0	2
2020.07.15	11:30:00	122.407	122.415	122.323	122.365	1280	0	2
2020.07.15	11:45:00	122.365	122.365	122.229	122.264	1281	0	2
2020.07.15	12:00:00	122.264	122.270	122.198	122.237	1044	0	2
2020.07.15	12:15:00	122.237	122.237	122.163	122.216	907	0	2
2020.07.15	12:30:00	122.216	122.227	122.173	122.196	1122	0	2
2020.07.15	12:45:00	122.196	122.224	122.181	122.193	817	0	2
2020.07.15	13:00:00	122.193	122.264	122.186	122.254	1062	0	2
2020.07.15	13:15:00	122.254	122.255	122.174	122.233	1005	0	2
2020.07.15	13:30:00	122.233	122.247	122.194	122.235	1172	0	2
2020.07.15	13:45:00	122.235	122.357	122.232	122.302	1226	0	2
2020.07.15	14:00:00	122.302	122.374	122.275	122.317	1518	0	2
2020.07.15	14:15:00	122.318	122.369	122.285	122.357	1383	0	2
2020.07.15	14:30:00	122.357	122.394	122.344	122.380	1355	0	2
2020.07.15	14:45:00	122.380	122.380	122.251	122.257	1155	0	2
2020.07.15	15:00:00	122.257	122.274	122.207	122.253	1169	0	2
2020.07.15	15:15:00	122.254	122.267	122.228	122.233	950	0	2
2020.07.15	15:30:00	122.232	122.248	122.194	122.194	896	0	2
2020.07.15	15:45:00	122.194	122.199	122.105	122.146	1110	0	2
2020.07.15	16:00:00	122.146	122.180	122.125	122.128	1062	0	2
2020.07.15	16:15:00	122.128	122.172	122.111	122.125	1122	0	2
2020.07.15	16:30:00	122.122	122.204	122.078	122.116	2082	0	2
2020.07.15	16:45:00	122.116	122.122	121.978	121.989	2496	0	2
2020.07.15	17:00:00	121.990	121.994	121.907	121.908	2398	0	2
2020.07.15	17:15:00	121.909	121.933	121.821	121.886	1782	0	2
2020.07.15	17:30:00	121.885	121.926	121.861	121.917	1528	0	2
2020.07.15	17:45:00	121.918	122.018	121.837	121.973	2080	0	2
2020.07.15	18:00:00	121.973	122.084	121.946	122.067	1690	0	2
2020.07.15	18:15:00	122.067	122.100	122.042	122.079	1405	0	2
2020.07.15	18:30:00	122.078	122.080	121.992	122.012	1409	0	2
2020.07.15	18:45:00	122.012	122.017	121.922	121.954	1166	0	2
2020.07.15	19:00:00	121.954	122.020	121.904	122.019	906	0	2
2020.07.15	19:15:00	122.020	122.033	121.956	121.983	934	0	2
2020.07.15	19:30:00	121.983	122.009	121.922	121.961	905	0	2
2020.07.15	19:45:00	121.961	121.991	121.960	121.988	727	0	2
2020.07.15	20:00:00	121.988	121.999	121.946	121.947	994	0	2
2020.07.15	20:15:00	121.947	121.986	121.928	121.968	837	0	2
2020.07.15	20:30:00	121.968	121.980	121.949	121.965	542	0	2
2020.07.15	20:45:00	121.965	121.991	121.942	121.990	517	0	2
2020.07.15	21:00:00	121.990	122.006	121.948	121.951	588	0	2
2020.07.15	21:15:00	121.951	121.990	121.928	121.990	472	0	2
2020.07.15	21:30:00	121.990	122.019	121.977	122.007	492	0	2
2020.07.15	21:45:00	122.006	122.040	121.991	121.991	558	0	2
2020.07.15	22:00:00	121.991	122.000	121.951	121.961	904	0	2
2020.07.15	22:15:00	121.962	122.024	121.957	122.022	634	0	2
2020.07.15	22:30:00	122.021	122.038	122.004	122.019	541	0	2
2020.07.15	22:45:00	122.018	122.044	121.996	122.005	724	0	2
2020.07.15	23:00:00	122.005	122.023	121.982	122.022	356	0	2
2020.07.15	23:15:00	122.022	122.037	122.010	122.026	250	0	2
2020.07.15	23:30:00	122.026	122.027	122.008	122.015	209	0	2
2020.07.15	23:45:00	122.015	122.050	122.007	122.013	549	0	2
2020.07.16	00:00:00	122.013	122.019	121.946	122.015	87	0	25
2020.07.16	00:15:00	122.015	122.028	122.009	122.022	65	0	18
2020.07.16	00:30:00	122.022	122.022	121.998	122.004	113	0	24
2020.07.16	00:45:00	122.004	122.049	121.999	122.041	177	0	29
2020.07.16	01:00:00	122.041	122.064	122.027	122.060	500	0	5
2020.07.16	01:15:00	122.060	122.067	122.050	122.054	286	0	2
2020.07.16	01:30:00	122.054	122.067	122.034	122.037	189	0	2
2020.07.16	01:45:00	122.037	122.041	122.007	122.015	233	0	2
2020.07.16	02:00:00	122.015	122.034	122.004	122.018	311	0	2
2020.07.16	02:15:00	122.018	122.040	122.011	122.039	175	0	2
2020.07.16	02:30:00	122.039	122.068	122.039	122.065	310	0	2
2020.07.16	02:45:00	122.065	122.084	122.048	122.049	199	0	2
2020.07.16	03:00:00	122.049	122.049	121.938	121.960	1178	0	2
2020.07.16	03:15:00	121.961	122.013	121.945	122.011	635	0	2
2020.07.16	03:30:00	122.012	122.068	122.006	122.067	861	0	2
2020.07.16	03:45:00	122.067	122.143	122.060	122.095	1306	0	2
2020.07.16	04:00:00	122.095	122.101	122.031	122.084	927	0	2
2020.07.16	04:15:00	122.084	122.099	122.045	122.075	731	0	2
2020.07.16	04:30:00	122.075	122.131	122.052	122.097	1346	0	2
2020.07.16	04:45:00	122.097	122.113	122.074	122.081	838	0	2
2020.07.16	05:00:00	122.082	122.136	122.021	122.024	1109	0	2
2020.07.16	05:15:00	122.024	122.033	121.937	121.965	862	0	2
2020.07.16	05:30:00	121.965	121.983	121.905	121.942	1264	0	2
2020.07.16	05:45:00	121.942	121.983	121.919	121.965	688	0	2
2020.07.16	06:00:00	121.965	121.999	121.954	121.981	574	0	2
2020.07.16	06:15:00	121.981	121.998	121.956	121.998	514	0	2
2020.07.16	06:30:00	121.998	122.014	121.985	121.999	578	0	2
2020.07.16	06:45:00	121.999	122.025	121.987	121.999	711	0	2
2020.07.16	07:00:00	121.999	122.003	121.969	121.973	544	0	2
2020.07.16	07:15:00	121.973	121.983	121.957	121.957	421	0	2
2020.07.16	07:30:00	121.957	121.973	121.935	121.940	346	0	2
